CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11078,MS.,GINA,MARTIN,1974-01-10,S,F,40000,0,High School,Professional,N
11079,MR.,DONALD,GONZALEZ,1959-03-11,S,M,160000,0,Graduate Degree,Management,Y
11080,MR.,DAMIEN,CHANDER,1959-07-17,M,M,170000,0,Graduate Degree,Management,Y
11081,MRS.,SAVANNAH,BAKER,1966-07-24,M,F,120000,2,Bachelors,Management,Y
11082,,ANGELA,BUTLER,1966-08-04,S,,130000,0,Graduate Degree,Management,N
11083,MS.,ALYSSA,COX,1966-03-15,M,F,130000,0,Graduate Degree,Management,Y
11084,MR.,LUCAS,PHILLIPS,1957-09-12,S,M,80000,2,Partial High School,Skilled Manual,N
11085,MRS.,EMILY,JOHNSON,1957-07-19,S,F,60000,2,High School,Professional,N
11086,MR.,RYAN,BROWN,1957-12-23,M,M,70000,2,Partial College,Professional,Y
11087,MRS.,TAMARA,LIANG,1957-10-03,M,F,70000,3,Partial College,Professional,N
11089,MRS.,ABIGAIL,PRICE,1957-02-05,S,F,80000,2,Bachelors,Management,Y
11090,MR.,TREVOR,BRYANT,1957-12-17,S,M,90000,2,Partial College,Professional,Y
11091,MR.,DALTON,PEREZ,1957-04-04,M,M,90000,2,Partial College,Professional,Y
11092,MRS.,CHERYL,DIAZ,1967-05-06,M,F,90000,2,Bachelors,Professional,Y
11093,MS.,AIMEE,HE,1967-09-10,M,F,100000,0,Graduate Degree,Management,Y
11094,MR.,CEDRIC,MA,1962-04-01,S,M,70000,1,Partial College,Skilled Manual,N
11095,MR.,CHAD,KUMAR,1962-09-01,S,M,70000,1,Partial College,Skilled Manual,Y
11096,MR.,ANDRÉS,ANAND,1962-08-10,M,M,60000,1,Bachelors,Professional,Y
11097,MR.,EDWIN,NARA,1961-10-27,M,M,60000,1,Partial College,Skilled Manual,Y
11098,MRS.,MALLORY,RUBIO,1961-05-01,S,F,60000,1,Partial College,Skilled Manual,N
11099,MR.,ADAM,ROSS,1961-03-08,M,M,60000,1,Bachelors,Professional,Y
11100,MRS.,LATASHA,NAVARRO,1960-09-15,S,F,60000,1,Partial College,Skilled Manual,Y
11101,MS.,ABBY,SAI,1965-05-08,S,F,70000,0,Bachelors,Professional,N
11102,MRS.,JULIA,NELSON,1965-04-21,S,F,80000,5,Bachelors,Professional,Y
11103,MS.,CASSIE,CHANDE,1964-10-17,S,F,70000,0,Bachelors,Professional,Y
11104,MR.,EDGAR,SARA,1964-03-11,M,M,70000,0,Bachelors,Professional,N
11105,MS.,CANDACE,FERNANDEZ,1964-12-28,S,F,70000,0,Bachelors,Professional,N
11106,MR.,JESSIE,LIU,1964-09-11,S,M,70000,0,Bachelors,Professional,N
11107,MRS.,BIANCA,LIN,1959-09-09,M,F,90000,1,Bachelors,Professional,Y
11108,MS.,KARI,ALVAREZ,1963-07-14,S,F,70000,0,Bachelors,Professional,N
11109,MR.,RUBEN,KAPOOR,1963-11-05,S,M,70000,0,Bachelors,Professional,N
11110,MR.,CURTIS,YANG,1962-06-06,M,M,60000,1,Partial College,Skilled Manual,Y
11111,MRS.,MEREDITH,GUTIERREZ,1962-02-23,M,F,60000,1,Partial College,Skilled Manual,Y
11112,MRS.,CRYSTAL,WANG,1962-09-09,M,F,60000,1,Partial College,Skilled Manual,Y
11113,MR.,MICHEAL,BLANCO,1962-02-21,M,M,70000,5,Bachelors,Professional,Y
11114,MRS.,LESLIE,MORENO,1962-05-28,S,F,70000,5,Partial College,Skilled Manual,Y
11115,MR.,ALVIN,CAI,1962-02-12,M,M,70000,5,Partial College,Skilled Manual,Y
11116,MR.,CLINTON,CARLSON,1962-10-07,M,M,70000,5,Partial College,Skilled Manual,Y
11117,MRS.,APRIL,DENG,1961-02-21,M,F,70000,5,Partial College,Skilled Manual,Y
11118,MR.,ALVIN,ZENG,1957-07-03,S,M,80000,1,Partial College,Skilled Manual,N
11119,MR.,EVAN,JAMES,1935-04-10,S,M,30000,2,Partial College,Clerical,N
11121,MR.,ORLANDO,SUAREZ,1960-11-18,M,M,70000,5,Partial College,Skilled Manual,Y
11122,MR.,BYRON,VAZQUEZ,1960-04-02,M,M,70000,5,Partial College,Skilled Manual,Y
11123,MR.,PHILIP,ALVAREZ,1960-06-20,M,M,70000,5,Partial College,Skilled Manual,Y
11124,MR.,ROSS,JORDAN,1957-07-27,S,M,80000,1,Partial College,Skilled Manual,Y
11125,MRS.,DANA,NAVARRO,1956-04-08,S,F,70000,1,Partial College,Skilled Manual,Y
11126,MR.,SHAUN,CARSON,1949-04-07,M,M,10000,2,High School,Skilled Manual,N
11127,MS.,JAN,EDWARDS,1975-10-21,M,F,40000,0,High School,Skilled Manual,Y
11128,MS.,SAMANTHA,LONG,1975-12-05,M,F,40000,0,High School,Skilled Manual,Y
11129,MS.,JULIA,WRIGHT,1975-08-05,S,F,40000,0,High School,Skilled Manual,Y
11130,MS.,CAROLINE,RUSSELL,1980-01-06,M,F,30000,0,High School,Skilled Manual,Y
11131,MS.,AMANDA,RIVERA,1980-03-12,M,F,30000,0,High School,Skilled Manual,N
11132,MS.,MELISSA,RICHARDSON,1980-10-26,S,F,30000,0,High School,Skilled Manual,N
11133,MS.,ANGELA,GRIFFIN,1980-09-08,S,F,30000,0,Partial High School,Clerical,N
11134,MR.,LARRY,TOWNSEND,1946-02-26,S,M,10000,5,High School,Skilled Manual,Y
11135,MR.,MARCUS,HARRIS,1979-11-03,S,M,30000,0,Partial High School,Clerical,N
11136,MS.,BRIANNA,MORGAN,1978-10-26,S,F,40000,0,High School,Skilled Manual,N
11137,MS.,JASMINE,TAYLOR,1978-07-20,M,F,40000,0,High School,Skilled Manual,Y
11138,MS.,LAUREN,DAVIS,1978-09-15,M,F,40000,0,High School,Skilled Manual,N
11139,MRS.,TANYA,MORENO,1938-11-09,S,F,30000,2,Partial College,Clerical,N
11140,MR.,JAVIER,ALVAREZ,1977-02-11,S,M,30000,0,Partial High School,Clerical,N
11141,MS.,NICOLE,RAMIREZ,1977-06-21,M,F,40000,0,High School,Skilled Manual,N
11142,MR.,EDUARDO,PATTERSON,1977-08-14,S,M,40000,0,High School,Skilled Manual,N
11143,MR.,JONATHAN,HENDERSON,1977-02-04,M,M,40000,0,High School,Skilled Manual,Y
11144,MR.,EDWARD,HERNANDEZ,1979-09-09,S,M,40000,0,High School,Skilled Manual,N
11145,MS.,JASMINE,COLEMAN,1979-12-08,S,F,40000,0,High School,Skilled Manual,N
11146,MRS.,KARLA,GOEL,1939-08-26,S,F,40000,2,Bachelors,Management,Y
11147,MR.,ERNEST,WU,1939-02-05,M,M,60000,2,Graduate Degree,Management,Y
11148,MR.,ROSS,VAZQUEZ,1941-08-16,M,M,40000,2,Bachelors,Management,Y
11149,MR.,THEODORE,GILL,1941-04-20,M,M,40000,2,Bachelors,Management,Y
11150,MR.,RUSSELL,SHEN,1941-03-15,S,M,40000,2,Bachelors,Management,Y
11151,MRS.,MELINDA,GILL,1942-02-25,S,F,60000,2,Graduate Degree,Management,N
11152,MR.,JAMES,WILLIAMS,1976-01-10,S,M,40000,0,High School,Skilled Manual,Y
11153,MS.,ANGELA,JAMES,1976-06-23,M,F,40000,0,High School,Skilled Manual,Y
11154,MS.,MEGAN,WALKER,1976-08-21,S,F,40000,0,Partial College,Skilled Manual,Y
11155,MR.,HUNTER,ROBINSON,1976-01-26,S,M,40000,0,Partial College,Skilled Manual,N
11156,MS.,MARIA,ROBERTS,1976-02-07,S,F,40000,0,Partial College,Skilled Manual,N
11157,MS.,HANNAH,LONG,1975-06-11,M,F,40000,0,High School,Skilled Manual,Y
11158,MR.,JASON,WRIGHT,1975-10-08,S,M,40000,0,High School,Skilled Manual,Y
11159,MS.,BRIANNA,HUGHES,1975-09-17,S,F,40000,0,High School,Skilled Manual,N
11160,MR.,MAURICE,TANG,1974-01-08,S,M,40000,0,Partial College,Skilled Manual,N
11161,MS.,EMILY,WOOD,1974-04-22,S,F,40000,0,Partial College,Skilled Manual,N
11162,MR.,CHASE,COX,1974-03-05,S,M,40000,0,Partial College,Skilled Manual,Y
11163,MR.,GABRIEL,WANG,1974-12-20,M,M,40000,0,Partial College,Skilled Manual,Y
11164,MR.,DEVIN,BROOKS,1974-05-05,S,M,40000,0,Partial College,Skilled Manual,N
11165,MS.,JOCELYN,ALEXANDER,1973-07-18,M,F,60000,0,Partial College,Skilled Manual,N
11166,MS.,ASHLEY,MARTINEZ,1972-04-24,S,F,70000,0,Partial College,Skilled Manual,N
11167,MS.,JASMINE,BARNES,1972-08-01,S,F,80000,0,Bachelors,Management,N
11168,MR.,DAVID,RODRIGUEZ,1968-05-15,S,M,80000,0,Bachelors,Management,N
11169,MR.,BRYCE,RICHARDSON,1968-06-22,M,M,90000,4,Bachelors,Management,Y
11170,MRS.,CAROL,HOWARD,1968-02-05,M,F,90000,4,Bachelors,Management,Y
11171,MR.,JONATHAN,HILL,1967-10-09,S,M,100000,1,Bachelors,Management,Y
11172,MRS.,GABRIELLE,ADAMS,1967-11-21,M,F,100000,1,Bachelors,Management,Y
11173,MS.,SARAH,THOMAS,1967-09-01,S,F,110000,0,Graduate Degree,Management,N
11174,MR.,NICHOLAS,ROBINSON,1967-07-13,M,M,110000,0,Graduate Degree,Management,Y
11175,MR.,LUIS,WANG,1963-03-05,S,M,70000,0,Partial College,Skilled Manual,Y
11176,MR.,MASON,ROBERTS,1968-01-25,M,M,90000,4,Bachelors,Management,Y
11177,MR.,JOSE,FLORES,1942-07-04,M,M,110000,2,Graduate Degree,Management,Y
11178,MR.,NATHAN,JOHNSON,1943-08-24,M,M,100000,2,Graduate Degree,Management,Y
11179,MRS.,MOLLY,RODRIGUEZ,1943-06-14,M,F,120000,2,Graduate Degree,Management,Y
11180,MRS.,APRIL,ANAND,1943-01-02,M,F,160000,1,Bachelors,Management,Y
11181,MR.,DEVIN,MARTIN,1943-08-08,M,M,170000,2,Graduate Degree,Management,Y
11182,MRS.,STEPHANIE,TORRES,1944-08-25,S,F,70000,4,Bachelors,Management,Y
11183,MRS.,JASMINE,LEE,1944-07-15,S,F,70000,4,Bachelors,Management,Y
11184,MRS.,MEGHAN,HERNANDEZ,1944-11-16,S,F,70000,4,Bachelors,Management,Y
11185,MRS.,ASHLEY,HENDERSON,1944-10-08,S,F,70000,4,Bachelors,Management,Y
11186,MRS.,SARAH,PRICE,1944-05-21,S,F,70000,4,Bachelors,Management,Y
11187,MRS.,JENNIFER,COOPER,1944-02-22,M,F,60000,4,Graduate Degree,Management,Y
11188,MRS.,CATHERINE,MORRIS,1944-09-06,M,F,60000,4,Graduate Degree,Management,N
11190,MR.,CARSON,BRYANT,1944-06-22,M,M,70000,5,Bachelors,Management,Y
11191,MRS.,KRISTI,PEREZ,1945-12-18,S,F,70000,5,Bachelors,Management,Y
11192,MR.,JAMES,BROWN,1945-09-13,M,M,60000,4,Bachelors,Management,Y
11193,MR.,IAN,GRAY,1945-02-13,M,M,60000,4,Bachelors,Management,Y
11194,MRS.,JACQUELINE,PRICE,1945-06-10,M,F,60000,4,Bachelors,Management,Y
11195,MRS.,MEGAN,HENDERSON,1946-02-10,M,F,60000,5,Bachelors,Management,Y
11196,MR.,ALFREDO,ROMERO,1946-06-07,M,M,60000,5,Bachelors,Management,Y
11197,MRS.,ANDREA,MORRIS,1946-06-18,M,F,70000,3,Bachelors,Management,N
11198,MRS.,BROOKE,SANDERS,1946-11-26,S,F,70000,4,Bachelors,Management,Y
11199,MRS.,JACQUELINE,BENNETT,1946-11-06,M,F,70000,4,Bachelors,Management,Y
11200,MR.,JASON,GRIFFIN,1947-11-22,M,M,70000,4,Bachelors,Management,Y
11201,MRS.,AMANDA,FOSTER,1947-08-18,M,F,70000,4,Bachelors,Management,Y
11202,MRS.,ALEXIA,PRICE,1947-08-26,M,F,80000,5,Bachelors,Management,N
11203,MR.,LUIS,DIAZ,1948-08-21,M,M,40000,2,High School,Professional,Y
11205,MRS.,ABBY,FERNANDEZ,1948-07-24,M,F,40000,2,High School,Professional,Y
11206,MR.,BLAKE,FLORES,1948-09-24,M,M,60000,2,Partial College,Professional,Y
11207,MRS.,DANIELLE,COX,1948-07-19,S,F,60000,2,Partial College,Professional,Y
11208,MRS.,MARIA,REED,1948-02-04,M,F,60000,2,Bachelors,Management,Y
11209,MRS.,ALLISON,EVANS,1948-01-13,M,F,60000,2,Bachelors,Management,Y
11210,MR.,EDWARD,WOOD,1948-06-08,M,M,70000,4,Partial College,Professional,Y
11211,MRS.,SAMANTHA,RUSSELL,1949-10-12,M,F,40000,2,High School,Professional,Y
11212,MRS.,CHLOE,CAMPBELL,1949-11-05,M,F,40000,2,High School,Professional,Y
11213,MRS.,STEPHANIE,MURPHY,1949-05-14,S,F,60000,2,Partial College,Professional,Y
11214,MR.,CHARLES,MILLER,1949-11-07,S,M,60000,2,Partial College,Professional,Y
11215,MRS.,ANA,PERRY,1950-06-21,M,F,40000,2,Partial High School,Skilled Manual,Y
11216,MRS.,JASMINE,TORRES,1950-05-20,S,F,60000,2,Partial College,Professional,Y
11217,MRS.,NATALIE,ADAMS,1950-02-11,S,F,60000,2,Partial College,Professional,Y
11218,MRS.,OLIVIA,BROWN,1950-09-11,S,F,60000,2,Partial College,Professional,N
11219,MR.,CHARLES,COOK,1950-12-02,M,M,60000,2,High School,Professional,Y
11220,MRS.,ERICA,HUANG,1950-02-23,M,F,60000,2,Partial College,Professional,Y
11221,MR.,NATHAN,PERRY,1950-06-10,M,M,70000,4,Partial College,Professional,Y
11222,MRS.,ALEXANDRA,RIVERA,1950-08-17,M,F,80000,3,Bachelors,Management,Y
11223,MRS.,HAILEY,PATTERSON,1951-09-16,S,F,70000,2,High School,Professional,Y
11224,MRS.,TIFFANY,LI,1951-09-06,S,F,70000,2,High School,Professional,Y
11226,MRS.,SYDNEY,ROSS,1951-09-27,M,F,60000,2,Partial College,Professional,Y
11227,MR.,MARSHALL,CHAVEZ,1951-08-12,S,M,60000,2,Partial College,Professional,Y
11228,MRS.,ASHLEY,JONES,1951-04-19,M,F,60000,2,Partial College,Professional,Y
11229,MR.,ADRIAN,STEWART,1951-12-03,S,M,70000,4,Partial College,Professional,Y
11230,MRS.,AMBER,TURNER,1951-04-03,M,F,70000,4,Partial College,Professional,N
11231,MR.,DENNIS,ZHANG,1952-11-14,M,M,60000,2,High School,Professional,Y
11232,MRS.,HAILEY,BRYANT,1952-09-27,M,F,60000,3,High School,Professional,N
11233,MR.,TODD,LI,1952-09-09,M,M,70000,4,Partial College,Professional,Y
11234,,ANNA,GRIFFIN,1952-11-19,S,,70000,4,Partial College,Professional,Y
11235,MR.,ANGEL,STEWART,1952-02-08,M,M,70000,4,Partial College,Professional,Y
11236,MR.,JEREMY,BUTLER,1952-03-05,S,M,70000,5,Partial College,Professional,Y
11237,MR.,CLARENCE,ANAND,1958-09-23,S,M,130000,2,Bachelors,Management,N
11238,MRS.,MAYRA,PRASAD,1958-08-10,S,F,130000,2,Bachelors,Management,N
11239,MRS.,LATOYA,GOEL,1958-10-06,M,F,130000,2,Partial College,Professional,N
11240,MRS.,ANNE,HERNANDEZ,1958-12-11,M,F,160000,2,Partial College,Professional,Y
11241,MRS.,LISA,CAI,1957-10-11,S,F,100000,2,Partial College,Professional,Y
11242,MR.,LARRY,MUNOZ,1957-11-11,M,M,110000,2,Partial College,Professional,Y
11243,MRS.,ROBIN,ALVAREZ,1957-10-09,M,F,150000,2,Partial College,Professional,Y
11244,MRS.,ALEXIS,COLEMAN,1957-11-26,S,F,170000,2,Bachelors,Management,N
11245,MR.,RICKY,VAZQUEZ,1956-10-27,M,M,120000,3,High School,Professional,N
11247,MRS.,CLAUDIA,ZHOU,1956-06-06,S,F,130000,3,Partial College,Professional,N
11248,MR.,TRISTAN,ALEXANDER,1955-03-26,M,M,110000,3,Partial College,Professional,Y
11249,MRS.,CINDY,PATEL,1955-07-13,M,F,130000,3,Partial College,Professional,Y
11250,MRS.,SHANNON,LIU,1955-03-12,M,F,170000,3,High School,Professional,Y
11251,MR.,XAVIER,LONG,1932-07-04,S,M,30000,4,High School,Professional,N
11252,MR.,NICHOLAS,THOMPSON,1932-06-07,S,M,90000,3,Graduate Degree,Management,Y
11253,MR.,JOSÉ,HERNANDEZ,1933-02-28,M,M,60000,2,Graduate Degree,Management,Y
11254,MR.,JOHNATHAN,VANCE,1933-03-03,M,M,70000,4,Graduate Degree,Management,Y
11255,MR.,COLIN,LIN,1933-04-04,M,M,70000,4,Graduate Degree,Management,Y
11256,MRS.,KATELYN,HERNANDEZ,1933-09-20,M,F,70000,4,Graduate Degree,Management,Y
11257,MRS.,JACQUELINE,POWELL,1933-01-06,S,F,120000,1,Graduate Degree,Management,Y
11258,MR.,XAVIER,HILL,1933-06-28,M,M,120000,1,Graduate Degree,Management,Y
11259,MRS.,VICTORIA,STEWART,1965-03-27,M,F,100000,4,Partial College,Professional,Y
11260,MRS.,KATELYN,KELLY,1965-04-12,M,F,110000,2,Bachelors,Management,Y
11261,MRS.,STEPHANIE,COLLINS,1965-04-24,M,F,130000,1,Graduate Degree,Management,Y
11262,MRS.,JENNIFER,SIMMONS,1964-05-04,M,F,80000,4,Bachelors,Management,Y
11263,MRS.,TRINITY,RICHARDSON,1964-09-11,M,F,90000,5,Partial College,Professional,Y
11264,MR.,EDUARDO,MARTIN,1964-06-17,S,M,90000,5,Partial College,Professional,N
11265,MRS.,ELIZABETH,JONES,1964-07-13,M,F,90000,5,Partial College,Professional,Y
11266,MS.,TAYLOR,HOWARD,1964-05-05,S,F,90000,0,Partial College,Professional,N
11267,MR.,DAVID,DIAZ,1964-10-02,S,M,120000,4,Partial College,Professional,Y
11268,MRS.,KATELYN,CARTER,1964-05-03,M,F,130000,2,Graduate Degree,Management,Y
11269,MR.,RYAN,FOSTER,1964-10-13,M,M,130000,2,Graduate Degree,Management,Y
11270,MR.,ROBERT,LEE,1964-05-04,M,M,130000,2,Graduate Degree,Management,Y
11271,MRS.,DANIELLE,REED,1964-06-05,S,F,150000,2,Bachelors,Management,N
11272,MRS.,LAUREN,MARTINEZ,1956-11-10,S,F,70000,4,Partial College,Professional,Y
11273,MR.,NATHAN,LAL,1956-10-01,M,M,90000,2,Partial College,Professional,Y
11274,MR.,KYLE,FOSTER,1934-04-12,M,M,50000,2,Graduate Degree,Management,Y
11275,MRS.,JENNY,RAI,1934-01-18,M,F,80000,4,Graduate Degree,Management,Y
11276,MRS.,NANCY,CHAPMAN,1963-09-19,M,F,80000,4,Partial College,Professional,Y
11277,MR.,CHARLES,JACKSON,1963-06-10,M,M,80000,4,Partial College,Professional,Y
11278,MR.,JONATHAN,PHILLIPS,1963-08-20,S,M,90000,0,Partial College,Professional,N
11279,MS.,AMANDA,COOK,1963-09-12,M,F,90000,0,Partial College,Professional,Y
11280,MR.,ROBERT,COLLINS,1963-08-21,M,M,90000,0,Partial College,Professional,Y
11281,MRS.,MEGAN,BARNES,1963-10-10,S,F,110000,4,Bachelors,Management,Y
11282,MR.,CHRISTIAN,THOMAS,1962-01-16,M,M,90000,5,Partial College,Professional,Y
11283,MR.,ARTURO,LAL,1962-10-26,M,M,110000,1,Bachelors,Management,Y
11284,MRS.,THERESA,SERRANO,1962-03-27,M,F,110000,1,Bachelors,Management,Y
11285,MR.,JEREMY,ANDERSON,1962-03-19,M,M,120000,1,Partial College,Professional,N
11286,MR.,HUNTER,GRIFFIN,1962-03-03,M,M,170000,0,Graduate Degree,Management,Y
11287,MR.,HENRY,GARCIA,1961-01-16,M,M,70000,5,Partial College,Professional,N
11288,MRS.,CINDY,SANCHEZ,1961-09-16,M,F,110000,1,Bachelors,Management,Y
11289,MRS.,MARIA,CARTER,1961-03-07,M,F,130000,1,Bachelors,Management,Y
11290,MRS.,KATELYN,SANCHEZ,1961-08-18,M,F,130000,1,Bachelors,Management,Y
11291,MRS.,JENNA,WRIGHT,1961-05-05,M,F,130000,1,Bachelors,Management,Y
11292,MR.,SETH,PHILLIPS,1961-11-05,S,M,150000,1,Partial College,Professional,N
11293,MR.,LUKE,LONG,1955-05-27,S,M,60000,2,High School,Professional,N
11294,MR.,DALTON,CLARK,1955-09-03,M,M,60000,2,High School,Professional,N
